211,Como ser John Malkovich,Spike Jonze,1999,,DVD5
2,Confesiones de una mente peligrosa,George Clooney,2002,,DVD1
260,Confidence,James Foley,2003,,DVD62
55,Con la muerte en los talones,Alfred Hitchcock,1959,,DVD2
945,Conocerás al hombre de tus sueños,Woody Allen,2010,,DVD123
404,Conoces a Joe Black,Martin Brest,1998,VCD,CD'R
867,Conociendo a Jim,Steve Buscemi,2005,,DVD95
38,Cool World,Ralph Bakshi,1992,,DVD16
56,Corazonada,Francis Ford Coppola,1982,,DVD2
980,Corazón rebelde,Scott Cooper,2009,,DVD116
124,Corazón salvaje,David Lynch,1990,,DVD32
164,Coronel Redl,István Szabó,1984,null,DVD40
298,Cosas que perdimos en el fuego,Susanne Bier,2007,,DVD71
135,Cotton club,Francis Ford Coppola,1984,,DVD35
420,Crash,Paul Haggis,2006,DVD'R,DVD'R
51,Crimen organizado,Matthew Vaughn,2004,Xvid,DVD19
863,Crimen y castigo,Menahem Golan,2002,,DVD94
127,Crónicas,Sebastián Cordero,2004,,DVD33
115,Cruce de caminos,Walter Hill,1986,,DVD30
68,Cube zero,Ernie Barbarash,2004,Xvid,DVD22
338,Cuestión de honor,Gavin O'Connor,2008,,DVD82
445,Dark city,Alex Proyas,1998,,DVD87
336,Death Note,Tetsuro Araki,2006,,DVD81
313,Desafío Total,Paul Verhoeven,1990,,DVD75
163,Desayuno con diamantes,Blake Edwards,1961,,DVD40
868,Desgracia,Steve Jacobs,2008,,DVD95
311,Desmontando a Harry,Woody Allen,2007,,DVD74
456,Destellos de genio,Marc Abraham,2009,null,DVD89
111,Dias de Trueno,Tony Scott,1990,,DVD3
287,Días extraños,Kathryn Bigelow,1995,,DVD69
281,Doctor Zhivago,David Lean,1965,,DVD68
401,Dogma,Kevin Smith,1999,Divx(16:9),CD'R
402,Dogville,Lars Von Trier,2003,Divx(16:9),CD'R
208,Domingo Sangriento,Paul Greengrass,2002,,DVD49
296,Donnie Brasco,Mike Newell,1996,,DVD71
423,Donnie Darko,Richard Kelly,2001,Divx(16:9),CD'R
386,Dracula,Francis Ford Coppola,1992,Divx (16:9),CD'R
358,Duel: El diablo sobre ruedas,Steven Spielberg,1971,,DVD9
72,Dune,David Lynch,1984,,DVD23
344,Duplicity,Tony Gilroy,2009,,DVD83
